id,질문,정답,top1 문서
25,로스앤젤레스 시위원회가 유전자 변형 작물 재배를 금지하려는 이유는 무엇인가?,"로스앤젤레스 시에는 농작물이 거의 없기 때문에 거의 상징적인 의미가 될 것이나, 이는 2012년 GMO 식품의 표시제를 요구했으나 실패했던 캘리포니아주 주민 발의안을 지지했던 사람들을 포함해 전폭적인 지지를 받았기 때문이다.","미국 로스앤젤레스 시 위원회, 유전자 변형 작물 재배 금지하는 쪽으로 의견 집중 미국 로스앤젤레스 시위원회는 화요일(현지시간) 유전자 변형 생물체(GMO)를 함유한 종자의 재배 규제와 관련한 조례안 대한 표결을 진행했음. 시 위원회는 시의 공무 담당자들에게 시의 경계 내에서 GMO를 함유한 식물과 종자의 재배 및 판매를 규제하는 조례를 마련하는 것에 대해 요청했음.이는 로스 앤젤레스 시에는 농작물이 거의 없기 때문에 거의 상징적인 의미가 될 것이나 2012년 GMO 식품의 표시제를 요구했으나 실패했던 캘리포니아주 주민 발의안을 지지했던 사람들을 포함해 전폭적인 지지를 받았음. 위원회는 지역기관, 사업체 소유주, 그리고 이번 규제안을 찬성하는 주민들로부터 약 50건의 서안을 받았으며 이들 중 10여명은 월요일과 화요일에 열린 위원회 회의에도 참석했음. 시위원회장 허브 웨슨은 화요일(현지시간) 전 의원의 최종 투표에 회부되기에 앞서 위원회를 거칠 초안을 마련하기를 원한다고 전했음."
26,스포츠음료는 언제 섭취하는 것이 권장되나요?,스포츠음료는 운동 시간이 90분 이상인 경우나 기온과 습도가 높은 환경에서 60분을 초과하는 운동을 할 때 섭취하는 것이 권장됩니다.,"캐나다 퀘벡, 운동 중 에너지 드링크 섭취 위험 경고 스포츠 및 운동 의료진 협회(AQMSE)는 총 11가지 제안된 권고안의 일부로서, 어떠한 운동 활동 전후 또는 하는 중에 에너지 드링크를 섭취하는 것을 권장하지 않는다고 함. AQMSE는 또한 카페인 최대 함량을 1회당 80mg으로 줄이는 것을 제안함. 덧붙여서, ""천연 건강 제품""으로 고려되는 에너지 드링크가 각 음료 안에 얼마나 많은 카페인이 들어가 있는지 제대로 확인할 것을 요구함. 동 협회는 에너지 드링크는 명확히 라벨을 부착하여 스포츠용 음료와 청량음료와 구분하여 판매하고, 16세 미만의 사람들에게는 구매를 금지할 것을 권장함.협회 의사들은 또한 에너지 드링크와 알코올을 결합하는 관행을 비난함."
27,챈들러 스윙크 학생이 혼수상태에 빠진 이유는 무엇인가?,챈들러 스윙크 학생은 견과 알레르기로 혼수상태에 빠졌다.,"미국 한 대학생, 견과 알레르기로 혼수상태 미국 오클랜드 대학교 2학년에 재학중인 챈들러 스윙크(Chandler Swink, 19세)학생이 견과 알레르기로 혼수상태에 빠져있음. 심각한 견과 알레르기 증세를 갖고 있던 스윙크 학생은 11월 18일, 세인트 조헵 머시 병원에서 혼수상태에 빠져있다고 언론지 'Monica Drake of The Oakland Press'가 보도했음. 이 언론에 따르면 스윙크 학생은 그가 2살일 때 6단계 견과 알레르기 진단을 받았다고 함. 6단계 견과 알레르기는 가장 심각한 형태로 현재 의사들은 그의 생존 확률이2%라고 밝혔음. 오클랜드 언론은 그의 어머니의 증언을 보도했음. 그의 어머니는 챈들러가 친구의 집에 있었고 누군가가 땅콩버터 쿠키를 만들었다고 함. 그녀는 챈들러가 이 쿠키와 닿은 음식을 먹었거나 피넛 버터에 오염된 누군가가 그를 만졌다고 전했음. 챈들러의 알레르기 증세가 시작되었을 때, 챈들러는 자신의 차에 가서 에피펜 주사를 스스로 맞았고 혼자 병원까지 운전했음. 그는 세인트 조헵 머시 오클랜드에 소재한 주차장에서 화요일 새벽 1시경에 무의식상태로 발견되었음."
28,펜실베니아주 상원이 통과시킨 법안의 주요 내용은 무엇인가?,학교가 심각한 알레르기 증상을 치료하는데 필요한 에피네프린을 구비하도록 하는 법안이다.,"미국 펜실베니아주, 식품 알레르기 처방을 위해 교내 에피네프린의 소지를 허용하는 법안 상원 표결 대기 미국천식알러지협회에 따르면, 미국 어린이 13명 중 약 한명은 식품 알레르기 진단을 받았으나, 이처럼 갑작스럽고 심각한 반응에 맞서 보호받거나 진단받지 못한 아이들이 여전히 많다고 함. 펜실베니아주 하원법안(House Bill 803)은 알레르기 진단이 내려지지 않은 어린이가 교내에서 알레르기 반응을 일으켰을 때 보호하기 위해 교내에 에피네프린(epinephrine)을 보관하고 처방할 수 있도록 허용할 것임. 에피네프린은 인후붓기, 발진, 혈압저하를 야기할 수 있는 치명적인 알레르기 반응인 아나필락시스라 불리는 과민증을 치유하기 위한 주요 처치제임. 입안자는 하원 딕 스티븐슨임. 법안은 하원을 통과하고 최근 상원 교육위원회를 통과했음. 이번 주, 상원의회의 표결을 기다리고 있음. 교내에 에피네프린 소지를 허용하는 메사추세츠주에서는 에피네프린 주사의 25%가 알레르기 반응 이력이 없는 어린이에게 교내에서 사용되고 있음.  펜실베니아주는 에피펜(EpiPen) 보관 및 처방에 대한 교내정책이 학군마다 상이함."
29,몬스터 에너지가 대학 캠퍼스에서 미성년 학생들을 어떻게 활용했나요?,"몬스터 에너지는 대학 캠퍼스에서 자신들의 카페인이 함유된 음료를 홍보하기 위해 18-19세인 1, 2학년 미성년 학생 무리들을 고용하고, 이들을 '대학생 사절단'으로 부르며 무리 당 100달러를 지불했습니다.","미국 몬스터(사), 캠퍼스 내 미성년 대학생 사절단을 활용해 에너지 음료 홍보해 조사 중 몬스터 에너지(Monster Energy) 음료가 대학 캠퍼스에서 알코올 혼합음료에 사용되어 미성년 학생에게 판매되었다는 당국의 주장에 따라 오늘(현지시간), 면밀한 조사에 들어갔음. 에릭 슈나이더멘 뉴욕 법무장관은 몬스터 에너지의 판매 행태를 조사해오고 있으며 조사의 일환으로 업체로부터 추가 문서를 요구하고 있다고 전했음. 당국의 입장을 지지하기 위해 법무장관은 몬스터 에너지가 캠퍼스에서 자신들의 카페인이 함유된 음료를 홍보하기 위해 학생들을 고용하고 18-19세인 1, 2학년 미성년 학생 무리들을 알코올과 에너지 음료를 혼합하도록 독려했다는 것을 입증하는 이메일을 공개했음. 카를라 산체스는 경제정의 법무장관 행정대리인은 현장에 몬스터 로고가 찍힌 알코올과 몬스터 음료 혼합 음료를 제공하는 냉장고 같은 대형 용기가 있었다고 본지(ABC News)에 전했음. 몬스터 (사)는 이들 학생들을 ""대학생 사절단""으로 부르며 무리 당 100달러를 지불했다고 익명의 한 학생이 본지에 밝혔음.  당국은 몬스터(사) 측이 무료 에너지음료를 제공하고 사절단 학생들에게 지시하면서 칵테일 제조법을 전달했다고도 주장했음."
30,테스코가 계산대에서 과자류 진열을 금지한 이유는 무엇인가?,아이들이 부모를 졸라 제품을 구입하고 소아 비만이 증가하는 것을 막기 위해서입니다.,"영국 테스코, 계산대에 과자류 진열 금지 영국 테스코가 아이들이 부모를 졸라 제품을 구입하고 소아 비만이 증가하는 것을 막기 위해 모든 매장에서 계산대에 과자와 초콜릿류를 진열하는 것을 금지함. 부모와 보건운동가들의 요청에 따라 당과 지방 함량이 높은 과자류를 계산대에 진열하는 것을 단계적으로 중단할 것이라고 함. 테스코는 20년 전, 대형 매장의 계산대에 과자류를 진열하는 것을 중단했지만 현재 테스코 익스프레스(Tesco Express)나 테스코 메트로(Tesco Metro) 같은 약 1,800개의 소규모 매장에도 이를 확대 적용하고 있음. 테스코의 이러한 결정은 다른 유통업체에도 상당한 압박이 될 것임. 지난 1월, 리들(Lidl)이 계산대에 정크푸드를 진열하는 것을 중단하고 있다고 밝힌 바 있음. 그러나 영국에서 가장 규모가 큰 테스코의 이러한 결정은 특히 파급력이 큼.  테스코의 자체 조사에서 소비자의 3분의 2(65%)가 계산대에 과자류를 진열하지 않으면 더욱 건강한 선택을 하는데 도움이 될 것이라고 답했음. 마찬가지로 부모의 67%는 이와 같은 조치가 자녀를 위해 건강한 선택을 하는데 도움이 될 것이라고 답했음.  수년 동안, 보건 전문가와 정치인들은 계산대에서 고칼로리의 과자와 초콜릿에 쉽게 접근할 수 있는 것에 대해 문제를 제기해 왔음. 식품기준청(FSA)에 따르면 쉐필드대학 연구팀이 최근 실시한 연구에서 슈퍼마켓이나 편의점 계산대에 진열된 품목 10개 중 9개가 건강에 매우 좋지 않은 것으로 확인됐음."
31,Sam Kane Beef Processors가 회수한 분쇄 소고기 가공품의 제조시설번호는 무엇인가요?,제조시설번호는 337입니다.,"[회수]미국 Sam Kane Beef Processors, 이물(금속) 혼입 가능성으로 분쇄 소고기가공품 회수 미국 농무부 식품안전검사국, 'Sam Kane Beef Processors'의 분쇄 소고기 가공품을 이물(금속) 혼입 가능성으로 회수 발표 - 일시: 2014.10. 4.- 제품 정보: 1)HEB Ground Chuck(3 lb, 제조시설번호: 337, 생산일: 2014. 9. 12. 유통기한: 2014. 10. 2.) 2)HEB Ground Beef/73% LEAN 27% FAT(5 lb, 제조시설번호: 337, 생산일: 2014. 9. 15. 유통기한: 2014. 10. 5.)3)HEB Ground Beef/73% LEAN 27% FAT(10 lb, 제조시설번호: 337, 생산일: 2014. 9. 18. 유통기한: 2014. 10. 8.)4)Ground Chuck(패티, 클리어필름 포장, 10 lb, 제조시설번호: 337, 생산일: 2014. 9. 9. 유통기한: 2014. 9. 29.)- 회수사: Sam Kane Beef Processors(텍사스 코퍼스크리스티 소재)- 회수사유: 이물(금속) 혼입 가능성- 라벨 사진: http://www.fsis.usda.gov/wps/wcm/connect/69db03ab-db08-4d06-89f5-3266bf7681a8/066-2014-labels.pdf?MOD=AJPERES- 기타: 제품에 크기 약 3 mm의 금속이 혼입되어 있었다는 소비자 불만이 한 소매점에 접수된 뒤에 문제가 발견됨. 제품 90,987 파운드를 회수함."
32,론 모라이스씨가 커피 컵에서 쥐 사체를 발견한 후 맥도날드는 어떤 조치를 취했나요?,"캐나다 맥도날드 동부지역 홍보 관리자는 사태 파악 직후 지역 공중보건 당국과 함께 문제의 매장을 조사하고 나섰다고 말했으며, 현재도 조사가 진행 중입니다.","캐나다 맥도날드 커피컵에서 쥐 사체 발견  캐나다 뉴브런즈윅 프레더릭턴에 거주하는 론 모라이스씨는 일하러 가던 중 지역 맥도날드 매장에서 산 커피 컵에서 쥐 사체를 목격했다고 밝혔음.  이에 캐나다 맥도날드 동부지역 홍보 관리자는 사태 파악 직후 지역 공중보건 당국과 함께 문제의 매장을 조사하고 나섰다고 말했음. 현재도 조사가 진행 중임.  14일자(현지시간) 보건부의 음식점 실사 기록을 보면, 해충의 근거가 없고, 식품이 모두 밀봉되어 있었다고 적혀있음. 맥도날드측도 건물 내에 설치류의 흔적이 없다는 해충박멸 전문업체의 의견을 전했음."
33,미시간주 파날 교도소에서 식중독이 발생한 이유는 무엇인가?,교정시설의 식품 제공 라인과 감자에서 구더기가 발견된 바 있으나 정확히 드러난 사실은 없음.,"[식중독]말레이시아, 페낭 지역 교도소에서 급식 관련 식중독 환자 100여 명 발생 말레이시아, 페낭 지역 교도소에서 급식 관련 식중독 환자 100여 명 발생 - 일시: 2014. 1. 17.- 발생 지역: 말레이시아 페낭 지역의 한 교도소(Penang Remand Prison)- 발생 규모: 100여 명이 구토와 설사 증세를 보이고 2명이 병원으로 이송됨.- 발생 사유: 급식으로 제공된 아얌 마사 멜라흐(ayam masak merah, 그레이비소스를 곁들인 닭고기 요리) 섭취- 기타: 보건당국이 식품 검체 수거 및 조사 진행"
34,프린스에드워드섬 감자 산업체가 바늘이 감자에 들어간 정보를 제보하는 사람에게 지급하는 보상금은 얼마인가?,최대 5만 달러,"캐나다 왕립기마경찰대, 프린스에드워드섬에서 바늘박힌 감자 추가 발견해 지금껏 총 10개 확인  캐나다 왕립기마경찰대(RCMP)는 프린스에드워드섬의 식품 조작 사건 조사 과정에서 바늘이 박힌 감자가 총 10개였다고 밝혔음. 금속탐지기기를 통해 '링크레터 팜스(Linkletter Farms)'에서 생산된 감자 3개에서 바늘이 추가 발견되었음.  해당 감자는 자율 회수 대상으로 반송된 제품이었으며, 추가 검사를 하기 위해 법의학 실험실로 보내졌음. 경찰은 대서양 지역 전반에서 발생한 감자 조작 사례 7건을 이미 조사한 상태임.  경찰대는 다만, 회수된 감자 팔레트 3개에 대해서는 아직 검사를 완료하지 않은 상태임. 프린스에드워드섬 감자 산업체는 바늘이 어떻게 감자에 들어가게 되었는지 정보를 제보하는 이에게 최대 5만 달러를 지급하고 있음."
